atributo,polaridad,producto,ejemplo
bateria,negativa,Samsung A15,"No muy bueno, la batería dura poco , y el cable del cargador, no es rápido."
bateria,negativa,Samsung A15,"Me gusta pero no me encanta. La batería dura poco, fotos saca medio pelo. No es lo que esperaba."
bateria,positiva,Motorola G32,"Es un teléfono que te salva, tenía un g8 y no hay diferencia, la batería dura 24, no usándolo mucho, en este sentido esperaba que durara más. El sonido es bueno. Y la cámara no me deslumbra."
bateria,positiva,Motorola G32,"Lo compré para regalar, así que no puedo dar mayores datos. Me comentan que funciona bien, la batería dura lo esperado y tiene buena recepción."
bateria,positiva,Samsung A15,Es un celu medio pelo para zafar funciona. La batería dura casi 2 días es normal estéticamente hablando. No trae cargador es un garrón.
bateria,positiva,Samsung A15,"La verdad lo tengo hace una semana y funciona muy bien si lo queres por la cámara este no es tu cel , la batería dura un montón muy buena."
camara,positiva,Motorola G32,"Buen celu, saca buenas fotos y video si lo sabes usar. Te recomiendo davinci resolve para editar y descargar una app profesional para controlar los parametros de exposicion, etc yo uso mcpro24fps."
camara,positiva,Motorola G32,"No es muy fluido, buena cámara y buena capacidad. La batería no esta durando tanto como deberia. Tal vez deba revisarle las configuraciones, tengo que usarlo un poco mas. En lineas grales esta bien."
camara,positiva,Samsung A15,Es um celular que saca buenas fotos( motivo por lo que lo compré y por la capacidad de guardar datos). No trae cargador y se descarga rápido.
camara,positiva,Samsung A15,"Muy buena cámara y gran duración de la batería. Lástima no trae cargador, que es parte del equipo y aunque parece un dato menor es un gasto más. Por eso no le doy cinco puntos."
cargador,negativa,Samsung A15,La camara es mala. Es medio lento. No trae cargador ni auriculares lo cual me parece muy malo.
cargador,negativa,Samsung A15,"Tendrían que avisar que no trae cargador ,muy decepcionado,el cargador es fundamental,enojado."
cargador,positiva,Motorola G32,"Viene con cargador, protectores de celular y pantalla. Por el costo, no hay nada cercano en calidad en otras marcas."
cargador,positiva,Motorola G32,"Muy conforme con el mot g 32. Velocidad súper. Camara excelente. La batería dura 2 días con uso normal. No me arrepiento de haberlo comprado y lo recomiendo porque trae cargador y funda, así no tenes gastos extras !."
cargador,positiva,Samsung A15,La camara es mala. Es medio lento. No trae cargador ni auriculares lo cual me parece muy malo.
cargador,positiva,Samsung A15,"Tendrían que avisar que no trae cargador ,muy decepcionado,el cargador es fundamental,enojado."
precio_calidad,negativa,Samsung A15,"No vale la pena comprar por tan barato que sea. 2 veces me dormí y falte al trabajo porque el celular me empezó a fallar. Gasten un poco más y compren otro celular,motorola nunca falla,son buenos bonitos y baratos y no van a tener problema."
precio_calidad,positiva,Motorola G32,"Ideal relacion precio calidad ,por lo menos a mi me funciona perfecto ,muy conforme con la compra."
precio_calidad,positiva,Motorola G32,Recomendado precio calidad. Muy bueno la verdad. Es liviano. Viene con un cargador super potente.
precio_calidad,positiva,Samsung A15,"Se lo compramos a mamá para regalar, quedó súper contenta. Precio- calidad 🤭🤞🏻."
precio_calidad,positiva,Samsung A15,"Hoy, abril del 2025, excelente relación precio ,calidad, memoria, y velocidad."
rendimiento,negativa,Motorola G32,"Bien ,. Al principio trabajaba muy bien el procesador,. Ya después del año está lento y se tilda. Conviene juntar un pocows de dinero y cuando mprar algo mejor."
rendimiento,negativa,Motorola G32,No veo nada de diferencia. Excepto un poco de mejor calidad en la cámara con versiones anteriores. Lento o se tilda. Lastima que no llegué a más plata. Sino quizás no lo hubiera elegido.
rendimiento,negativa,Samsung A15,Una maquina funcionando bien hasta la actualidad. Lo tengo hacen 3 meses. Es un poco lento pero bueno. Lo compensa en otros detalles.
rendimiento,negativa,Samsung A15,"Disconforme. La batería dura todo el día, pero igual dura la de mi teléfono viejo q tiene 3 años. Se pone lento con poco."
rendimiento,positiva,Motorola G32,"Lo compré para regalar, así que no puedo dar mayores datos. Me comentan que funciona bien, la batería dura lo esperado y tiene buena recepción."
rendimiento,positiva,Motorola G32,"Compré el celular la carga rápida funcionaba perfecto, en unos días ya ni carga rápido. La carga es sumamente lenta. Por qué puediera ser!?."
rendimiento,positiva,Samsung A15,Me gusto el celular pero la no me gusto que a los 3 meses se descargaba un poco rápido la bateria.
rendimiento,positiva,Samsung A15,Es um celular que saca buenas fotos( motivo por lo que lo compré y por la capacidad de guardar datos). No trae cargador y se descarga rápido.
satisfaccion_general,negativa,Motorola G32,No lo recomiendo ya que se tilda bastante y además cuando querés enviar varios vídeos no se reproducen antes de mandarlos como para poder acortarlos.
satisfaccion_general,negativa,Motorola G32,"A mí hijo le gustó, por el precio muy buen dispositivo, lo único malo es que en la descripción dice que tiene nfc, pero no tiene."
satisfaccion_general,negativa,Samsung A15,"Esta muy lindo, tiene buena cámara. Lo único malo, que no trae cargador y es algo que debería tener porque es parte del equipo."
satisfaccion_general,negativa,Samsung A15,"Es un hermoso celu, lo malo es que no viene con el cargador, osea solo viene el cable usb, el enchufe lo tenes q comprar aparte."
satisfaccion_general,positiva,Motorola G32,"Buen producto. Incómodo la huella al costado y el touch, pero es hasta acostumbrarse."
satisfaccion_general,positiva,Motorola G32,"Muy buen producto, hasta ahora sin problemas lo utiliza mi mama y le es un celular muy potente!."
satisfaccion_general,positiva,Samsung A15,"La cumpleaños quedo feliz ,excelente producto saca muy bonitas fotos ♡."
satisfaccion_general,positiva,Samsung A15,Buen producto para ser de gama media cumple muy bien en todos los aspectos.
